player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Taurean Prince,30,MIL,SF,80,73,27.1,2.9,6.4,457,1.8,4.2,439,1.1,2.2,492,600,0.5,0.6,813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2
Brook Lopez,36,MIL,C,80,80,31.8,4.9,9.7,509,1.7,4.7,373,3.2,5.0,636,599,1.4,1.7,826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0
Seth Curry,34,CHO,SG,68,14,15.6,2.4,5.0,478,1.2,2.7,456,1.2,2.4,503,599,0.5,0.6,846,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,6.5
Moussa Diabaté,23,CHO,C,71,8,17.5,2.4,3.9,596,0.0,0.1,0,2.4,3.9,609,596,1.0,1.6,595,2.6,3.5,6.2,0.8,0.6,0.6,0.9,1.5,5.7
Michael Porter Jr.,26,DEN,SF,77,77,33.7,6.9,13.6,504,2.5,6.4,395,4.4,7.3,599,596,1.9,2.5,768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2
Georges Niang,31,2TM,PF,79,3,21.5,3.6,7.8,461,2.1,5.2,406,1.5,2.7,569,595,0.6,0.7,793,0.6,2.8,3.4,1.4,0.4,0.2,1.0,2.5,9.9
Derrick Jones Jr.,27,LAC,SF,77,55,24.3,4.0,7.6,526,1.0,2.8,356,3.0,4.8,627,593,1.1,1.5,703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1
Guerschon Yabusele,29,PHI,C,70,43,27.1,4.0,8.0,501,1.5,3.9,380,2.5,4.1,616,593,1.4,2.0,725,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,11.0
Nikola Vučević,34,CHI,C,73,72,31.2,7.5,14.2,530,1.8,4.4,402,5.8,9.8,587,592,1.6,2.0,805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5
Brice Sensabaugh,21,UTA,SF,71,15,20.2,3.9,8.4,459,2.2,5.2,422,1.7,3.2,520,590,0.9,1.0,890,0.6,2.4,3.0,1.5,0.6,0.1,1.5,1.6,10.9
